Lake,Char,Drainage,Region,Lat,Long,Area_ha,Perimeter_m
AK10,1,D_AL4,A,60.6698,-46.1208,4.2,2064
AK11,1,D_AL4,A,60.6691,-46.1282,1.5,679
AK2,1,D_AL4,A,60.6737,-46.1002,2.1,1226
AK4,0,D_AL4,A,60.6720,-46.0970,7.4,3319
AK7,0,D_AL4,A,60.6680,-46.0896,1.1,436
AK8,0,D_AL4,A,60.6672,-46.0936,3.6,1287
AK9,1,D_AL4,A,60.6691,-46.1123,3.5,2022
AL4,1,D_AL4,A,60.6685,-46.1114,42.8,6090
AP3,1,D_AL4,A,60.6730,-46.0911,11.3,2877
Beach_lake,0,D_Beach_lake,Q,61.1644,-45.6875,3.3,852
Cedar_lake,0,D_CL,Q,61.1788,-45.4272,8.1,1969
EFL2,0,D_L26,Q,61.2495,-45.5527,18.5,2985
ERL001,1,D_ERL001,Q,61.0716,-45.6045,51.8,10119
ERL006,0,D_ERL006,Q,61.1460,-45.5288,7.2,1328
ERL016,1,D_ERL001,Q,61.0651,-45.5610,15.0,2282
ERL017,1,D_ERL001,Q,61.0686,-45.5451,9.5,1910
ERL033,1,D_ERL033,Q,61.1184,-45.5808,2.5,799
ERL067,1,D_ERL067,Q,61.0795,-45.6518,3.2,833
ERL084,0,D_ERL084,Q,61.1381,-45.5868,2.5,611
ERL124,0,D_ERL125,Q,61.1532,-45.6324,2.3,955
ERL125,0,D_ERL125,Q,61.1569,-45.6364,3.7,1589
ERL137,1,D_ERL137,Q,61.0854,-45.7482,13.4,1917
ERL138,0,D_ERL138,Q,61.0847,-45.7325,6.0,1418
ERL153,0,D_ERL084,Q,61.1390,-45.5836,0.7,362
L26,1,D_L26,Q,61.2533,-45.5291,26.3,4101
TUL10,0,D_TUL10,T,60.8515,-46.4635,64.5,5606
TUL6,1,D_TUL6,T,60.8424,-46.4555,29.3,4642
TUL8,1,D_TUL_8,T,60.8504,-46.4938,48.1,5448
TULX10,0,D_TULX10,T,60.8666,-46.5015,2.5,1188
TULX11,0,D_TULX11,T,60.8669,-46.4932,0.3,235
TULX5,0,D_TUL_8,T,60.8592,-46.4882,1.2,574
TULX6,0,D_TULX8,T,60.8601,-46.4813,3.0,735
TULX8,0,D_TULX8,T,60.8626,-46.4822,7.3,1567
TUP19,1,D_TUP19,T,60.8246,-46.5022,28.6,3542
TUPX1,1,D_TUL6,T,60.8372,-46.4482,14.9,2311
TUPX2,1,D_TUL6,T,60.8284,-46.4529,4.0,1599
